user_id,recipe_id,name,cuisine,category,rating,timestampAnmol,80184,fridge batter bran muffins,[],Quick Breads,5.0,2025-05-05T08:31:48.928398
Anmol,413309,oatmeal and apple breakfast muffins,[],Quick Breads,5.0,2025-05-05T08:31:48.928398
Anmol,529607,sparkling christmas punch,[],Punch Beverage,5.0,2025-05-05T08:31:48.928398
Anmol,71096,sweet and spicy chicken pasta,[],One Dish Meal,5.0,2025-05-05T08:31:48.928398
Anmol,249275,chilled spiced yellow-squash soup,[],Vegetable,3.0,2025-05-05T08:31:48.928398
Anmol,1008,pizza loaf,[],< 15 Mins,5.0,2025-05-05T08:31:56.672825
Anmol,1379,herbal vinegar with garlic & basil,[],< 15 Mins,5.0,2025-05-05T08:31:56.672825
Anmol,1416,butter shortbreads,[],< 15 Mins,5.0,2025-05-05T08:31:56.672825
Anmol,1841,mushroom alfredo,[],< 15 Mins,5.0,2025-05-05T08:31:56.672825
Anmol,1944,shrimp newburg,[],< 15 Mins,5.0,2025-05-05T08:31:56.672825
Anmol,1008,pizza loaf,[],< 15 Mins,5.0,2025-05-05T08:34:41.371790
Anmol,1379,herbal vinegar with garlic & basil,[],< 15 Mins,5.0,2025-05-05T08:34:41.371790
Anmol,1416,butter shortbreads,[],< 15 Mins,5.0,2025-05-05T08:34:41.371790
Anmol,1841,mushroom alfredo,[],< 15 Mins,5.0,2025-05-05T08:34:41.371790
Anmol,1944,shrimp newburg,[],< 15 Mins,5.0,2025-05-05T08:34:41.371790
Anmol,286455,easy sauteed pork with white rice,[],Pork,5.0,2025-05-05T08:43:41.603675
Anmol,491098,pumpkin white chip nut bars,[],Bar Cookie,5.0,2025-05-05T08:43:41.603675
Anmol,533908,frozen mint chocolate pie,[],Pie,5.0,2025-05-05T08:43:41.603675
Anmol,303828,fresh tomato sauce with garden herbs,[],One Dish Meal,5.0,2025-05-05T08:43:41.603675
Anmol,434506,peanut butter chocolate mud pie,[],Pie,5.0,2025-05-05T08:43:41.603675
Anmol,11977,puffed up chiles rellenos,"['canadian', 'mexican']",Lunch/Snacks,5.0,2025-05-05T08:43:50.236043
Anmol,12462,mexican egg cups,"['canadian', 'mexican']",Breakfast,5.0,2025-05-05T08:43:50.236043
